ADDRESS,CITY,STATE,ZIP,LAST SOLD PRICE,BEDS,BATHS,SQFT,LOT SIZE,YEAR BUILT,DAYS ON MARKET,LATITUDE,LONGITUDE
12 Cameron Rd,Tenafly,NJ,7670,744000,4,2.5,,,,436,40.9243014,-73.9695232
83 Columbus Dr,Tenafly,NJ,7670,,0,,2186,876250,1968,,40.9316809,-73.9699088
14 Louise Ln,Tenafly,NJ,7670,,0,,2254,9374,1949,,40.91903,-73.971762
26 Clover St,Tenafly,NJ,7670,749000,3,2.5,,9130,,112,40.914022,-73.969636
117 Serpentine Rd,Tenafly,NJ,7670,,0,,1609,10920,1942,,40.9162815,-73.9642572
118 Highwood Ave,Tenafly,NJ,7670,750000,4,3,,25900,,206,40.926234,-73.95665
22 Stonehurst Dr,Tenafly,NJ,7670,,0,,2643,16052,1936,,40.918994,-73.958784
11 Depeyster Ave,Tenafly,NJ,7670,,0,,2503,11252,1923,,40.920142,-73.956936
94 Downey Dr,Tenafly,NJ,7670,750000,3,2,,,,135,40.911534,-73.959053
20 Demott St,Tenafly,NJ,7670,751000,5,3,,5001,,400,40.917534,-73.969538
39 Oak St,Tenafly,NJ,7670,,0,,1913,7000,1941,,40.913824,-73.964304
257 W Clinton Ave,Tenafly,NJ,7670,759900,4,3,,,,132,40.924848,-73.977138
2 Marcotte Ln,Tenafly,NJ,7670,,0,,3202,23250,1980,,40.919315,-73.978709
55 Hillside Ave,Tenafly,NJ,7670,,0,,3522,9951,1903,,40.923377,-73.961085
15 Standish Ct,Tenafly,NJ,7670,760000,3,2.5,,16000,,21,40.913282,-73.976925
166 Westervelt Ave,Tenafly,NJ,7670,,0,,2265,7501,1952,,40.921282,-73.976282
12 Maple St,Tenafly,NJ,7670,,0,,1899,10441,1954,,40.910818,-73.959756
97 Columbus Dr,Tenafly,NJ,7670,780000,4,3.5,,5400,,211,40.931609,-73.97131
124 W Clinton Ave,Tenafly,NJ,7670,,0,,2084,5330,1936,,40.924512,-73.9712909
229 Engle St,Tenafly,NJ,7670,,0,,1964,14113,1923,,40.923744,-73.95892
91 Howard Park Dr,Tenafly,NJ,7670,,0,,2238,10999,1948,,40.912813,-73.955389
86 Hazelton Ter,Tenafly,NJ,7670,,0,,2060,8281,1940,,40.934237,-73.973522
53 Oak Ave,Tenafly,NJ,7670,,0,,2281,9374,1938,,40.914254,-73.9767059
36 Roberts Ct,Tenafly,NJ,7670,790000,3,2,,10465,,83,40.916674,-73.9682784
59 Esmond Pl,Tenafly,NJ,7670,790000,4,3.5,,4800,,260,40.9320673,-73.9745638
33 Louise Ln,Tenafly,NJ,7670,792000,4,2.5,,9374,,413,40.918469,-73.973173
45 Oak Ave,Tenafly,NJ,7670,,0,,2054,9374,1938,,40.9143199,-73.975893
3311 Tenafly Ct,Tenafly,NJ,7670,,0,,1995,,2009,,,
18 Wight Pl,Tenafly,NJ,7670,,0,,2309,7048,1928,,40.928665,-73.974934
115 Westervelt Ave,Tenafly,NJ,7670,800000,5,3.5,,14960,,253,40.921819,-73.971481
1 Edward Ct,Tenafly,NJ,7670,800000,3,3.5,,10050,,113,40.9250649,-73.957837
204 Elm St,Tenafly,NJ,7670,,0,,2229,11173,1953,,40.90911,-73.958714
127 Sussex Rd,Tenafly,NJ,7670,800000,4,3,,8023,,153,40.920312,-73.975669
7 Harsen Rd,Tenafly,NJ,7670,801000,3,2,,9422,,202,40.916226,-73.97417
48 Jewett Ave,Tenafly,NJ,7670,805000,3,3.5,,8751,,128,40.927065,-73.981106
26 Cherry St,Tenafly,NJ,7670,,0,,2072,8925,1957,,40.9144549,-73.970444
39 Crabtree Ln,Tenafly,NJ,7670,815000,5,3.5,,20677,,433,40.915821,-73.981161
11 Huyler Ave,Tenafly,NJ,7670,825000,4,3.5,,8800,,24,40.9208663,-73.9644126
15 Norman Pl,Tenafly,NJ,7670,830000,5,2.5,,28061,,293,40.9232749,-73.970517
337 Engle St,Tenafly,NJ,7670,,0,,2852,31195,1964,,40.930414,-73.956348
25 Oak St,Tenafly,NJ,7670,835000,4,2.5,,7501,,86,40.914301,-73.965444
145 Sunset Ln,Tenafly,NJ,7670,835000,3,2.5,,10498,,34,40.9304756,-73.9756942
82 Country Club Rd,Tenafly,NJ,7670,840000,3,2.5,,9374,,212,40.915438,-73.9757435
86 Columbus Dr,Tenafly,NJ,7670,,0,,1400,7349,1953,,40.9312329,-73.9698313
66 Mackay Dr,Tenafly,NJ,7670,,0,,2864,19788,1957,,40.913485,-73.983681
7 Knoll Rd,Tenafly,NJ,7670,845000,5,2.5,,15673,,143,40.930574,-73.953926
8 Jewett Ave,Tenafly,NJ,7670,848000,5,3.5,,9627,,14,40.924777,-73.980891
,Tenafly,NJ,7670,855000,3,3,,8000,,104,,
15 Burlington Rd,Tenafly,NJ,7670,860000,3,2.5,,10001,,57,40.9210457,-73.9748556
161 Jefferson Ave,Tenafly,NJ,7670,,0,,2449,16801,1904,,40.930919,-73.971575
94 E Clinton Ave,Tenafly,NJ,7670,,0,,2143,16400,1920,,40.920704,-73.960488
114 Columbus Dr,Tenafly,NJ,7670,865000,4,3.5,,7000,,423,40.931077,-73.972774
11 Orchard Pl,Tenafly,NJ,7670,869000,3,2.5,,13500,,135,40.929491,-73.9588969
11 Cypress St,Tenafly,NJ,7670,,0,,2762,15002,1959,,40.914347,-73.955592
188 Hudson Ave,Tenafly,NJ,7670,880000,3,3,,9748,,400,40.928713,-73.952432
10 N Lyle Ave,Tenafly,NJ,7670,,0,,3289,13203,1981,,40.9248119,-73.9789023
157 Highwood Ave,Tenafly,NJ,7670,,0,,2541,18177,1908,,40.925346,-73.9534539
86 Hillside Ave,Tenafly,NJ,7670,,0,,1816,29677,1911,,40.922325,-73.960499
9 Norman Pl,Tenafly,NJ,7670,890000,4,2.5,,9100,,150,40.923206,-73.969767
48 Foster Rd,Tenafly,NJ,7670,,0,,1986,11325,1953,,40.9266099,-73.970561
72 Newcomb Rd,Tenafly,NJ,7670,900000,4,3.5,,6961,,50,40.932271,-73.968982
9 Kensington Ct,Tenafly,NJ,7670,,0,,3403,,2001,,,
44 Bliss Ave,Tenafly,NJ,7670,,0,,3024,10780,1982,,40.908521,-73.961063
,Tenafly,NJ,7670,907500,4,3.5,,23600,,422,,
88 Depeyster Ave,Tenafly,NJ,7670,,0,,2270,27000,1933,,40.9244648,-73.9539683
17 Marcotte Ln,Tenafly,NJ,7670,,0,,2812,19998,1981,,40.91989,-73.981092
169 Elm St,Tenafly,NJ,7670,920000,4,2.5,,10349,,444,40.91015,-73.959427
9 Brick Ct,Tenafly,NJ,7670,927500,5,3.5,,8075,,259,40.928854,-73.978618
40 Crabtree Ln,Tenafly,NJ,7670,945000,5,4.5,,20451,,62,40.9152142,-73.9812947
99 Gordon Ave,Tenafly,NJ,7670,,0,,2620,10349,1987,,40.934183,-73.971551
,Tenafly,NJ,7670,950000,4,3.5,,11025,,421,,
141 Windsor Rd,Tenafly,NJ,7670,950000,4,2.5,,19000,,87,40.912916,-73.978516
29 Lawrence Pkwy,Tenafly,NJ,7670,950000,4,3.5,,15624,,91,40.9208241,-73.9612979
153 E Clinton Ave,Tenafly,NJ,7670,950000,4,2.5,,19998,,35,40.91927,-73.956387
72 N Browning Ave,Tenafly,NJ,7670,,0,,2662,8477,2001,,40.9270026,-73.9803996
252 Engle St,Tenafly,NJ,7670,955550,5,4,,23936,,66,40.925358,-73.957667
324 E Clinton Ave,Tenafly,NJ,7670,,0,,2850,40946,1963,,40.913289,-73.950026
67 Woodland Park Dr,Tenafly,NJ,7670,,0,,2043,7501,1941,,40.9129953,-73.9573967
12 Morris Rd,Tenafly,NJ,7670,970000,4,4,,,,122,40.923953,-73.980898
89 Depeyster Ave,Tenafly,NJ,7670,,0,,2084,22399,1940,,40.9246534,-73.9545921
80 Highwood Ave,Tenafly,NJ,7670,985000,4,4.5,,9897,,52,40.9267169,-73.960401
188 Engle St,Tenafly,NJ,7670,,0,,2413,22298,1903,,40.920867,-73.95887
122 Stonehurst Dr,Tenafly,NJ,7670,,0,,2707,20099,1955,,40.916638,-73.955526
34 Brook Rd,Tenafly,NJ,7670,,0,,3013,17746,1955,,40.927708,-73.951227
,Tenafly,NJ,7670,990000,4,2.5,,9374,,78,,
163 Elm St,Tenafly,NJ,7670,990000,4,3,,,,140,40.91031,-73.959684
26 Surrey Ln,Tenafly,NJ,7670,999000,5,2.5,,19845,,428,40.923724,-73.971611
221 E Clinton Ave,Tenafly,NJ,7670,,0,,3352,33872,1952,,40.916389,-73.952847
192 Engle St,Tenafly,NJ,7670,999000,4,4.5,,18225,,428,40.921114,-73.958805
,Tenafly,NJ,7670,999999,5,4,,8772,,433,,
189 Highwood Ave,Tenafly,NJ,7670,,0,,3814,27552,1954,,40.923623,-73.951597
74 Sherwood Rd,Tenafly,NJ,7670,,0,,2228,10877,1941,,40.915526,-73.962299
75 Woodland Park Dr,Tenafly,NJ,7670,1050000,5,4.5,,,,71,40.912734,-73.956904
220 Hickory Ave,Tenafly,NJ,7670,1050000,5,3.5,,5998,,304,40.932782,-73.974896
80 Woodland Park Dr,Tenafly,NJ,7670,,0,,2296,17912,1941,,40.91209,-73.956962
6 Cambridge Rd,Tenafly,NJ,7670,,0,,2337,5998,1951,,40.932259,-73.97997
8 Glenwood Ct,Tenafly,NJ,7670,1078000,4,2.5,,16626,,374,40.925673,-73.9531
67 Erledon Rd,Tenafly,NJ,7670,1090000,4,3,,10120,,45,40.919415,-73.974568
26 Louise Ln,Tenafly,NJ,7670,1090000,5,4.5,,9374,,420,40.918987,-73.972582
5 Stonybrook Rd,Tenafly,NJ,7670,1093750,4,3.5,,23628,,10,40.92639,-73.947401
